issue_time_utc,issue_time_local,target_time_utc,target_time_local,lead_h,horizon,revision,power_t1,power_t2,power_farm,p10,p90,ws100_fc,wx_field,wx_model,model_name,fallback_used,run_id
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,0,24h,0,0.8602,0.8611,0.8564,0.3217,1.0,7.56,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-24T20:00:00Z,2026-01-25T01:00:00+05:00,1,24h,0,0.8201,0.8567,0.8377,0.2962,1.0,7.4,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-24T21:00:00Z,2026-01-25T02:00:00+05:00,2,24h,0,0.6955,0.6758,0.6971,0.1783,1.0,7.24,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-24T22:00:00Z,2026-01-25T03:00:00+05:00,3,24h,0,0.3983,0.4217,0.439,0.0531,0.9453,6.71,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-24T23:00:00Z,2026-01-25T04:00:00+05:00,4,24h,0,0.2992,0.3293,0.348,0.0108,0.7628,6.07,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T00:00:00Z,2026-01-25T05:00:00+05:00,5,24h,0,0.1908,0.1945,0.2167,0.004,0.5926,5.96,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T01:00:00Z,2026-01-25T06:00:00+05:00,6,24h,0,0.0246,0.0135,0.0219,0.0,0.039,1.1,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T02:00:00Z,2026-01-25T07:00:00+05:00,7,24h,0,0.0136,0.0055,0.0136,0.0,0.1488,3.61,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T03:00:00Z,2026-01-25T08:00:00+05:00,8,24h,0,0.0118,0.0097,0.0114,0.0,0.1355,3.49,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T04:00:00Z,2026-01-25T09:00:00+05:00,9,24h,0,0.0093,0.0157,0.0249,0.0,0.0315,2.49,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T05:00:00Z,2026-01-25T10:00:00+05:00,10,24h,0,0.0074,0.0189,0.0224,0.0,0.0933,1.25,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T06:00:00Z,2026-01-25T11:00:00+05:00,11,24h,0,0.0317,0.0138,0.0141,0.0,0.1025,0.9,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T07:00:00Z,2026-01-25T12:00:00+05:00,12,24h,0,0.0337,0.0144,0.0148,0.0,0.1569,1.84,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T08:00:00Z,2026-01-25T13:00:00+05:00,13,24h,0,0.0812,0.0505,0.053,0.0,0.3254,2.45,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T09:00:00Z,2026-01-25T14:00:00+05:00,14,24h,0,0.1111,0.0961,0.0717,0.0135,0.2916,1.78,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T10:00:00Z,2026-01-25T15:00:00+05:00,15,24h,0,0.1291,0.0938,0.0854,0.0142,0.3084,2.3,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T11:00:00Z,2026-01-25T16:00:00+05:00,16,24h,0,0.2542,0.2636,0.2449,0.0205,0.6395,5.02,day1,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T12:00:00Z,2026-01-25T17:00:00+05:00,17,24h,0,0.1815,0.2089,0.1914,0.0142,0.5955,5.67,day2,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T13:00:00Z,2026-01-25T18:00:00+05:00,18,24h,0,0.0902,0.0888,0.1203,0.0,0.4191,3.74,day2,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T14:00:00Z,2026-01-25T19:00:00+05:00,19,24h,0,0.0349,0.0308,0.0742,0.0,0.245,2.24,day2,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T15:00:00Z,2026-01-25T20:00:00+05:00,20,24h,0,0.026,0.0254,0.0602,0.0,0.2045,2.02,day2,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T16:00:00Z,2026-01-25T21:00:00+05:00,21,24h,0,0.0462,0.0349,0.0394,0.0,0.3407,3.08,day2,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T17:00:00Z,2026-01-25T22:00:00+05:00,22,24h,0,0.0253,0.0251,0.0303,0.0,0.2854,2.48,day2,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T18:00:00Z,2026-01-25T23:00:00+05:00,23,24h,0,0.0137,0.0242,0.03,0.0,0.2584,1.19,day2,best_match,gbm,False,20260125T0000-0f482b
2026-01-24T19:00:00Z,2026-01-25T00:00:00+05:00,2026-01-25T19:00:00Z,2026-01-26T00:00:00+05:00,24,48h,0,0.0451,0.0343,0.0228,0.0,0.1793,0.67,day2,best_match,gbm,False,20260125T0000-0f482b
