hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-01-06 00:00,1.366,0.13,4.272
2026-01-06 01:00,2.392,0.519,4.448
2026-01-06 02:00,2.19,0.436,4.198
2026-01-06 03:00,3.274,0.834,4.878
2026-01-06 04:00,4.024,1.029,5.0
2026-01-06 05:00,4.39,1.582,5.0
2026-01-06 06:00,4.396,1.612,5.0
2026-01-06 07:00,4.672,2.211,5.0
2026-01-06 08:00,4.682,2.199,5.0
2026-01-06 09:00,4.574,2.003,5.0
2026-01-06 10:00,4.722,2.783,4.99
2026-01-06 11:00,4.682,3.014,5.0
2026-01-06 12:00,4.861,3.568,5.0
2026-01-06 13:00,4.908,3.726,4.993
2026-01-06 14:00,4.914,3.207,5.0
2026-01-06 15:00,4.742,2.786,4.982
2026-01-06 16:00,4.922,2.46,4.982
2026-01-06 17:00,4.889,1.948,5.0
2026-01-06 18:00,4.558,1.698,4.998
2026-01-06 19:00,4.467,1.57,4.901
2026-01-06 20:00,3.923,1.398,4.944
2026-01-06 21:00,3.169,1.108,4.714
2026-01-06 22:00,1.998,0.822,4.297
2026-01-06 23:00,1.85,0.802,4.085
