hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-01-06 00:00,1.283,0.132,4.114
2026-01-06 01:00,2.264,0.478,4.47
2026-01-06 02:00,1.991,0.468,4.212
2026-01-06 03:00,3.083,1.054,4.878
2026-01-06 04:00,3.936,1.164,5.0
2026-01-06 05:00,4.27,1.744,5.0
2026-01-06 06:00,4.324,1.81,5.0
2026-01-06 07:00,4.564,2.4,5.0
2026-01-06 08:00,4.512,2.435,5.0
2026-01-06 09:00,4.492,2.309,5.0
2026-01-06 10:00,4.636,2.982,5.0
2026-01-06 11:00,4.867,3.224,5.0
2026-01-06 12:00,4.864,4.015,5.0
2026-01-06 13:00,4.906,4.0,5.0
2026-01-06 14:00,4.969,3.431,5.0
2026-01-06 15:00,4.974,3.175,5.0
2026-01-06 16:00,5.0,2.809,5.0
2026-01-06 17:00,4.859,2.219,5.0
2026-01-06 18:00,4.389,1.938,5.0
2026-01-06 19:00,4.244,1.84,4.915
2026-01-06 20:00,3.78,1.697,4.948
2026-01-06 21:00,3.056,1.42,4.713
2026-01-06 22:00,1.928,1.167,4.212
2026-01-06 23:00,1.767,1.111,4.011
