hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-01-08 00:00,0.296,0.0,1.92
2026-01-08 01:00,0.256,0.0,1.761
2026-01-08 02:00,0.254,0.0,1.728
2026-01-08 03:00,0.106,0.0,1.222
2026-01-08 04:00,0.17,0.0,1.307
2026-01-08 05:00,0.112,0.0,0.852
2026-01-08 06:00,0.204,0.0,1.245
2026-01-08 07:00,0.111,0.0,1.418
2026-01-08 08:00,0.102,0.0,1.322
2026-01-08 09:00,0.332,0.0,2.362
2026-01-08 10:00,0.391,0.0,2.358
2026-01-08 11:00,0.311,0.0,2.571
2026-01-08 12:00,0.758,0.0,2.938
2026-01-08 13:00,0.677,0.0,2.965
2026-01-08 14:00,0.455,0.0,2.812
2026-01-08 15:00,0.87,0.0,3.096
2026-01-08 16:00,1.282,0.0,3.626
2026-01-08 17:00,0.617,0.0,2.601
2026-01-08 18:00,0.689,0.0,2.657
2026-01-08 19:00,0.659,0.0,2.712
2026-01-08 20:00,0.642,0.0,2.849
2026-01-08 21:00,0.642,0.0,2.808
2026-01-08 22:00,0.99,0.0,3.065
2026-01-08 23:00,1.218,0.0,4.004
