hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-01-08 00:00,0.258,0.0,2.018
2026-01-08 01:00,0.215,0.0,1.969
2026-01-08 02:00,0.253,0.0,1.776
2026-01-08 03:00,0.169,0.0,1.128
2026-01-08 04:00,0.217,0.0,1.286
2026-01-08 05:00,0.102,0.0,0.889
2026-01-08 06:00,0.211,0.0,1.307
2026-01-08 07:00,0.0,0.0,1.427
2026-01-08 08:00,0.078,0.0,1.478
2026-01-08 09:00,0.425,0.0,2.397
2026-01-08 10:00,0.464,0.0,2.253
2026-01-08 11:00,0.216,0.0,2.314
2026-01-08 12:00,0.816,0.008,2.542
2026-01-08 13:00,0.755,0.0,2.374
2026-01-08 14:00,0.452,0.006,2.237
2026-01-08 15:00,0.762,0.031,2.826
2026-01-08 16:00,1.399,0.006,3.507
2026-01-08 17:00,0.6,0.004,2.276
2026-01-08 18:00,0.757,0.008,2.514
2026-01-08 19:00,0.634,0.006,2.327
2026-01-08 20:00,0.657,0.003,2.481
2026-01-08 21:00,0.657,0.0,2.448
2026-01-08 22:00,0.999,0.0,3.081
2026-01-08 23:00,1.514,0.01,3.998
