hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-01-14 00:00,2.561,0.351,4.79
2026-01-14 01:00,1.916,0.208,4.429
2026-01-14 02:00,1.704,0.135,4.248
2026-01-14 03:00,1.258,0.054,4.167
2026-01-14 04:00,1.026,0.054,3.798
2026-01-14 05:00,0.172,0.0,1.11
2026-01-14 06:00,0.153,0.0,0.97
2026-01-14 07:00,0.089,0.0,0.662
2026-01-14 08:00,0.012,0.0,0.649
2026-01-14 09:00,0.057,0.0,0.727
2026-01-14 10:00,0.076,0.0,0.9
2026-01-14 11:00,0.05,0.0,1.004
2026-01-14 12:00,0.054,0.0,1.251
2026-01-14 13:00,0.188,0.0,1.434
2026-01-14 14:00,0.351,0.0,2.194
2026-01-14 15:00,0.36,0.0,2.215
2026-01-14 16:00,0.468,0.0,2.383
2026-01-14 17:00,0.9,0.0,2.93
2026-01-14 18:00,1.189,0.0,3.313
2026-01-14 19:00,1.108,0.0,3.17
2026-01-14 20:00,1.125,0.0,3.312
2026-01-14 21:00,1.309,0.0,3.449
2026-01-14 22:00,1.176,0.0,3.426
2026-01-14 23:00,0.824,0.0,3.007
