hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-01-15 00:00,1.311,0.286,3.776
2026-01-15 01:00,1.016,0.132,3.02
2026-01-15 02:00,0.738,0.099,2.232
2026-01-15 03:00,0.528,0.01,1.934
2026-01-15 04:00,0.084,0.009,1.103
2026-01-15 05:00,0.056,0.0,0.764
2026-01-15 06:00,0.053,0.0,0.758
2026-01-15 07:00,0.177,0.011,1.066
2026-01-15 08:00,0.006,0.0,0.728
2026-01-15 09:00,0.026,0.0,0.087
2026-01-15 10:00,0.061,0.0,0.288
2026-01-15 11:00,0.068,0.0,0.853
2026-01-15 12:00,0.065,0.0,0.439
2026-01-15 13:00,0.076,0.0,1.084
2026-01-15 14:00,0.288,0.008,1.639
2026-01-15 15:00,0.286,0.021,1.638
2026-01-15 16:00,0.148,0.025,1.221
2026-01-15 17:00,0.234,0.026,1.586
2026-01-15 18:00,0.18,0.027,1.12
2026-01-15 19:00,0.21,0.027,1.247
2026-01-15 20:00,0.569,0.042,1.836
2026-01-15 21:00,0.522,0.041,1.85
2026-01-15 22:00,0.376,0.031,1.846
2026-01-15 23:00,0.252,0.018,1.8
