hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-01-16 00:00,0.354,0.004,1.736
2026-01-16 01:00,0.799,0.004,2.946
2026-01-16 02:00,0.158,0.0,1.148
2026-01-16 03:00,0.078,0.0,1.162
2026-01-16 04:00,0.331,0.002,1.6
2026-01-16 05:00,0.587,0.067,2.279
2026-01-16 06:00,0.998,0.042,3.494
2026-01-16 07:00,1.242,0.212,3.658
2026-01-16 08:00,1.05,0.173,3.136
2026-01-16 09:00,0.998,0.216,3.25
2026-01-16 10:00,0.896,0.19,2.797
2026-01-16 11:00,0.938,0.29,2.683
2026-01-16 12:00,1.012,0.286,2.781
2026-01-16 13:00,1.072,0.355,2.778
2026-01-16 14:00,1.361,0.391,3.521
2026-01-16 15:00,2.07,0.408,3.917
2026-01-16 16:00,2.448,0.484,4.135
2026-01-16 17:00,1.618,0.288,3.615
2026-01-16 18:00,1.55,0.342,3.512
2026-01-16 19:00,1.529,0.469,3.074
2026-01-16 20:00,1.398,0.546,3.024
2026-01-16 21:00,1.618,0.544,3.636
2026-01-16 22:00,1.564,0.544,3.2
2026-01-16 23:00,2.386,0.782,4.039
