hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-01-17 00:00,2.856,2.172,4.695
2026-01-17 01:00,2.862,2.308,4.728
2026-01-17 02:00,3.242,2.432,4.756
2026-01-17 03:00,4.506,2.918,4.918
2026-01-17 04:00,4.54,2.906,4.915
2026-01-17 05:00,4.61,3.898,4.884
2026-01-17 06:00,4.592,3.956,4.868
2026-01-17 07:00,4.498,3.84,4.834
2026-01-17 08:00,4.42,3.405,4.826
2026-01-17 09:00,3.429,2.415,4.694
2026-01-17 10:00,2.683,1.792,4.469
2026-01-17 11:00,2.251,1.275,4.168
2026-01-17 12:00,1.698,0.386,3.723
2026-01-17 13:00,0.81,0.0,2.393
2026-01-17 14:00,0.345,0.0,1.705
2026-01-17 15:00,0.246,0.0,0.949
2026-01-17 16:00,0.08,0.0,0.672
2026-01-17 17:00,0.233,0.0,0.803
2026-01-17 18:00,0.108,0.0,0.627
2026-01-17 19:00,0.136,0.0,0.62
2026-01-17 20:00,0.172,0.0,0.73
2026-01-17 21:00,0.188,0.0,0.876
2026-01-17 22:00,0.073,0.0,0.379
2026-01-17 23:00,0.1,0.0,0.621
