hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-01-20 00:00,0.318,0.0,2.32
2026-01-20 01:00,0.251,0.0,2.097
2026-01-20 02:00,0.188,0.0,1.977
2026-01-20 03:00,0.19,0.0,1.807
2026-01-20 04:00,0.206,0.0,1.158
2026-01-20 05:00,0.214,0.0,0.968
2026-01-20 06:00,0.172,0.0,0.864
2026-01-20 07:00,0.076,0.0,0.826
2026-01-20 08:00,0.106,0.0,0.232
2026-01-20 09:00,0.092,0.0,0.226
2026-01-20 10:00,0.096,0.0,0.569
2026-01-20 11:00,0.056,0.0,0.722
2026-01-20 12:00,0.033,0.0,0.568
2026-01-20 13:00,0.07,0.0,0.861
2026-01-20 14:00,0.024,0.0,0.84
2026-01-20 15:00,0.02,0.0,0.71
2026-01-20 16:00,0.163,0.0,1.15
2026-01-20 17:00,0.012,0.0,0.916
2026-01-20 18:00,0.05,0.0,0.629
2026-01-20 19:00,0.04,0.0,0.7
2026-01-20 20:00,0.041,0.0,0.977
2026-01-20 21:00,0.21,0.0,1.548
2026-01-20 22:00,0.229,0.0,1.846
2026-01-20 23:00,0.178,0.0,1.388
