hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-01-25 00:00,4.686,2.309,5.0
2026-01-25 01:00,4.576,2.135,5.0
2026-01-25 02:00,3.541,0.863,5.0
2026-01-25 03:00,2.612,0.452,4.286
2026-01-25 04:00,1.919,0.213,3.789
2026-01-25 05:00,1.064,0.0,2.614
2026-01-25 06:00,0.142,0.0,0.696
2026-01-25 07:00,0.076,0.0,0.53
2026-01-25 08:00,0.092,0.0,0.426
2026-01-25 09:00,0.115,0.0,0.647
2026-01-25 10:00,0.084,0.0,0.432
2026-01-25 11:00,0.038,0.0,0.891
2026-01-25 12:00,0.071,0.0,1.305
2026-01-25 13:00,0.454,0.014,1.806
2026-01-25 14:00,0.397,0.054,2.082
2026-01-25 15:00,0.786,0.052,2.522
2026-01-25 16:00,1.138,0.062,3.718
2026-01-25 17:00,2.446,0.54,4.478
2026-01-25 18:00,2.192,0.285,4.512
2026-01-25 19:00,1.872,0.12,4.146
2026-01-25 20:00,1.824,0.124,4.187
2026-01-25 21:00,1.336,0.106,3.598
2026-01-25 22:00,0.835,0.086,3.096
2026-01-25 23:00,0.296,0.064,1.857
