hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-01-26 00:00,0.091,0.0,0.885
2026-01-26 01:00,0.446,0.0,2.224
2026-01-26 02:00,0.578,0.04,2.173
2026-01-26 03:00,0.672,0.1,2.398
2026-01-26 04:00,1.072,0.114,3.246
2026-01-26 05:00,2.004,0.006,4.045
2026-01-26 06:00,1.744,0.076,3.668
2026-01-26 07:00,1.967,0.184,3.851
2026-01-26 08:00,1.95,0.051,3.946
2026-01-26 09:00,2.974,0.153,4.258
2026-01-26 10:00,3.88,1.014,4.716
2026-01-26 11:00,3.388,0.137,4.444
2026-01-26 12:00,3.898,0.586,4.328
2026-01-26 13:00,4.139,1.186,4.606
2026-01-26 14:00,4.321,1.196,4.61
2026-01-26 15:00,4.438,1.185,4.786
2026-01-26 16:00,4.377,0.921,4.788
2026-01-26 17:00,4.302,0.7,4.776
2026-01-26 18:00,4.126,0.546,4.466
2026-01-26 19:00,4.128,0.582,4.603
2026-01-26 20:00,4.068,0.488,4.606
2026-01-26 21:00,4.053,0.47,4.599
2026-01-26 22:00,3.978,0.461,4.595
2026-01-26 23:00,3.856,0.399,4.444
