hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-01-29 00:00,0.552,0.0,2.852
2026-01-29 01:00,0.196,0.0,1.466
2026-01-29 02:00,0.152,0.0,0.646
2026-01-29 03:00,0.163,0.0,0.906
2026-01-29 04:00,0.222,0.0,0.913
2026-01-29 05:00,0.237,0.0,1.061
2026-01-29 06:00,0.364,0.0,1.267
2026-01-29 07:00,0.162,0.0,0.942
2026-01-29 08:00,0.261,0.0,1.285
2026-01-29 09:00,0.13,0.0,1.518
2026-01-29 10:00,0.886,0.103,3.151
2026-01-29 11:00,2.102,0.629,4.072
2026-01-29 12:00,2.466,0.992,4.284
2026-01-29 13:00,2.38,0.968,3.768
2026-01-29 14:00,2.245,0.832,3.81
2026-01-29 15:00,1.8,0.74,3.495
2026-01-29 16:00,2.398,0.453,4.034
2026-01-29 17:00,1.477,0.348,3.644
2026-01-29 18:00,1.231,0.328,3.907
2026-01-29 19:00,1.378,0.381,3.448
2026-01-29 20:00,2.395,0.432,4.19
2026-01-29 21:00,2.728,0.661,4.46
2026-01-29 22:00,2.829,0.718,4.654
2026-01-29 23:00,2.852,1.002,4.627
