hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-01-31 00:00,0.184,0.0,2.662
2026-01-31 01:00,0.198,0.0,2.994
2026-01-31 02:00,0.534,0.0,3.224
2026-01-31 03:00,0.566,0.01,3.514
2026-01-31 04:00,0.744,0.0,3.347
2026-01-31 05:00,2.019,0.374,3.746
2026-01-31 06:00,2.272,0.353,3.674
2026-01-31 07:00,2.386,0.344,3.69
2026-01-31 08:00,2.234,0.295,4.318
2026-01-31 09:00,2.836,0.38,4.667
2026-01-31 10:00,2.953,0.528,4.466
2026-01-31 11:00,3.004,0.609,4.662
2026-01-31 12:00,2.925,0.683,4.702
2026-01-31 13:00,2.843,0.669,4.659
2026-01-31 14:00,2.858,0.594,4.648
2026-01-31 15:00,2.976,0.587,4.718
2026-01-31 16:00,4.196,0.974,4.934
2026-01-31 17:00,3.548,0.417,4.774
2026-01-31 18:00,2.834,0.323,4.426
2026-01-31 19:00,2.866,0.335,4.476
2026-01-31 20:00,2.619,0.337,4.413
2026-01-31 21:00,1.723,0.247,3.771
2026-01-31 22:00,1.39,0.222,3.782
2026-01-31 23:00,0.742,0.118,2.562
