hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-03 00:00,0.64,0.0,3.045
2026-02-03 01:00,1.151,0.0,4.174
2026-02-03 02:00,1.166,0.0,4.218
2026-02-03 03:00,0.947,0.0,3.802
2026-02-03 04:00,0.772,0.0,3.15
2026-02-03 05:00,0.901,0.0,3.394
2026-02-03 06:00,0.136,0.0,1.851
2026-02-03 07:00,0.244,0.0,2.024
2026-02-03 08:00,0.106,0.0,1.864
2026-02-03 09:00,0.103,0.0,1.527
2026-02-03 10:00,0.069,0.0,0.948
2026-02-03 11:00,0.206,0.0,1.732
2026-02-03 12:00,0.226,0.0,1.381
2026-02-03 13:00,0.097,0.0,1.284
2026-02-03 14:00,0.168,0.0,1.742
2026-02-03 15:00,0.688,0.0,2.977
2026-02-03 16:00,0.669,0.0,2.95
2026-02-03 17:00,1.59,0.0,4.068
2026-02-03 18:00,1.28,0.0,3.918
2026-02-03 19:00,1.384,0.0,3.778
2026-02-03 20:00,1.164,0.0,3.689
2026-02-03 21:00,0.989,0.0,3.304
2026-02-03 22:00,1.262,0.0,3.987
2026-02-03 23:00,1.24,0.0,3.988
