hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-06 00:00,1.459,0.094,4.722
2026-02-06 01:00,1.368,0.022,4.434
2026-02-06 02:00,1.225,0.02,3.997
2026-02-06 03:00,0.98,0.0,3.577
2026-02-06 04:00,0.307,0.0,2.511
2026-02-06 05:00,0.219,0.0,1.242
2026-02-06 06:00,1.95,0.143,4.082
2026-02-06 07:00,0.978,0.0,3.472
2026-02-06 08:00,0.742,0.0,3.06
2026-02-06 09:00,1.956,0.008,4.281
2026-02-06 10:00,3.486,1.296,4.699
2026-02-06 11:00,4.49,3.014,4.922
2026-02-06 12:00,4.89,4.501,4.974
2026-02-06 13:00,4.886,4.558,4.966
2026-02-06 14:00,4.886,4.558,4.969
2026-02-06 15:00,4.906,4.55,4.982
2026-02-06 16:00,4.904,4.438,4.953
2026-02-06 17:00,4.904,4.526,4.988
2026-02-06 18:00,4.923,4.54,4.988
2026-02-06 19:00,4.522,3.422,4.974
2026-02-06 20:00,3.986,2.996,4.96
2026-02-06 21:00,3.654,2.556,4.88
2026-02-06 22:00,3.524,2.539,4.885
2026-02-06 23:00,3.78,2.612,4.87
