hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-08 00:00,3.824,1.586,4.79
2026-02-08 01:00,3.046,1.088,4.86
2026-02-08 02:00,3.073,1.32,4.899
2026-02-08 03:00,3.37,1.292,4.895
2026-02-08 04:00,3.011,0.977,4.836
2026-02-08 05:00,2.033,0.268,4.512
2026-02-08 06:00,1.761,0.132,4.325
2026-02-08 07:00,1.469,0.059,4.065
2026-02-08 08:00,1.158,0.012,3.859
2026-02-08 09:00,0.736,0.0,3.043
2026-02-08 10:00,0.378,0.0,2.014
2026-02-08 11:00,0.046,0.0,0.993
2026-02-08 12:00,0.056,0.0,0.374
2026-02-08 13:00,0.06,0.0,0.911
2026-02-08 14:00,0.625,0.042,2.784
2026-02-08 15:00,2.964,0.996,4.989
2026-02-08 16:00,4.562,2.246,4.972
2026-02-08 17:00,4.664,2.634,5.0
2026-02-08 18:00,4.636,2.61,5.0
2026-02-08 19:00,4.645,2.569,5.0
2026-02-08 20:00,4.587,2.515,5.0
2026-02-08 21:00,4.598,2.419,5.0
2026-02-08 22:00,4.65,2.42,5.0
2026-02-08 23:00,4.643,2.326,5.0
