hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-08 00:00,3.821,1.856,4.829
2026-02-08 01:00,3.052,1.349,4.887
2026-02-08 02:00,3.094,1.64,4.89
2026-02-08 03:00,3.392,1.515,4.886
2026-02-08 04:00,3.019,1.184,4.808
2026-02-08 05:00,2.036,0.532,4.448
2026-02-08 06:00,1.761,0.408,4.188
2026-02-08 07:00,1.464,0.274,4.023
2026-02-08 08:00,1.159,0.174,3.75
2026-02-08 09:00,0.742,0.002,2.95
2026-02-08 10:00,0.374,0.006,2.029
2026-02-08 11:00,0.05,0.0,0.942
2026-02-08 12:00,0.054,0.0,0.404
2026-02-08 13:00,0.06,0.0,0.943
2026-02-08 14:00,0.615,0.0,2.796
2026-02-08 15:00,2.94,1.097,4.991
2026-02-08 16:00,4.544,2.632,4.997
2026-02-08 17:00,4.644,2.967,5.0
2026-02-08 18:00,4.629,3.08,5.0
2026-02-08 19:00,4.638,2.887,5.0
2026-02-08 20:00,4.588,2.93,5.0
2026-02-08 21:00,4.604,2.887,5.0
2026-02-08 22:00,4.604,2.868,5.0
2026-02-08 23:00,4.588,2.858,5.0
