hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-09 00:00,4.908,4.807,5.0
2026-02-09 01:00,4.906,4.807,5.0
2026-02-09 02:00,4.904,4.892,5.0
2026-02-09 03:00,4.916,4.85,5.0
2026-02-09 04:00,4.934,4.9,5.0
2026-02-09 05:00,4.936,4.936,5.0
2026-02-09 06:00,4.957,3.706,5.0
2026-02-09 07:00,4.846,3.744,5.0
2026-02-09 08:00,4.922,3.586,5.0
2026-02-09 09:00,4.887,3.586,4.996
2026-02-09 10:00,4.681,3.405,5.0
2026-02-09 11:00,4.724,3.482,4.978
2026-02-09 12:00,4.724,3.464,4.986
2026-02-09 13:00,4.844,3.609,4.982
2026-02-09 14:00,4.818,3.958,4.981
2026-02-09 15:00,4.888,4.214,4.978
2026-02-09 16:00,5.0,3.447,5.0
2026-02-09 17:00,4.934,2.915,5.0
2026-02-09 18:00,4.523,2.534,5.0
2026-02-09 19:00,3.718,2.09,5.0
2026-02-09 20:00,2.875,1.15,4.998
2026-02-09 21:00,2.35,0.88,4.674
2026-02-09 22:00,2.134,0.792,4.678
2026-02-09 23:00,2.514,0.745,4.876
