hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-09 00:00,4.94,4.774,5.0
2026-02-09 01:00,4.932,4.758,4.998
2026-02-09 02:00,4.931,4.833,5.0
2026-02-09 03:00,4.913,4.679,5.0
2026-02-09 04:00,4.924,4.786,5.0
2026-02-09 05:00,4.943,4.514,4.966
2026-02-09 06:00,4.923,4.41,4.978
2026-02-09 07:00,4.805,4.168,4.958
2026-02-09 08:00,4.851,3.317,4.966
2026-02-09 09:00,4.885,3.356,4.974
2026-02-09 10:00,4.756,3.174,4.936
2026-02-09 11:00,4.76,3.192,4.939
2026-02-09 12:00,4.797,3.189,4.94
2026-02-09 13:00,4.902,3.301,4.937
2026-02-09 14:00,4.88,3.212,4.936
2026-02-09 15:00,4.932,4.0,4.969
2026-02-09 16:00,4.956,3.061,4.991
2026-02-09 17:00,4.894,2.234,5.0
2026-02-09 18:00,4.545,1.948,5.0
2026-02-09 19:00,3.637,1.552,4.974
2026-02-09 20:00,3.11,0.897,5.0
2026-02-09 21:00,2.286,0.649,4.662
2026-02-09 22:00,2.016,0.493,4.71
2026-02-09 23:00,2.579,0.68,4.946
