hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-11 00:00,4.494,2.544,5.0
2026-02-11 01:00,4.57,3.046,5.0
2026-02-11 02:00,4.651,2.936,5.0
2026-02-11 03:00,3.014,1.668,4.937
2026-02-11 04:00,1.4,1.4,3.264
2026-02-11 05:00,0.652,0.046,3.243
2026-02-11 06:00,0.038,0.0,0.829
2026-02-11 07:00,0.018,0.0,0.631
2026-02-11 08:00,0.098,0.0,0.472
2026-02-11 09:00,0.205,0.0,1.804
2026-02-11 10:00,0.2,0.0,0.778
2026-02-11 11:00,1.301,1.301,3.845
2026-02-11 12:00,1.143,1.143,3.68
2026-02-11 13:00,0.651,0.651,2.254
2026-02-11 14:00,2.304,0.562,4.64
2026-02-11 15:00,4.681,3.327,4.994
2026-02-11 16:00,4.804,3.788,4.982
2026-02-11 17:00,4.174,2.782,4.932
2026-02-11 18:00,4.083,2.742,4.936
2026-02-11 19:00,3.313,2.042,4.84
2026-02-11 20:00,2.607,1.558,4.82
2026-02-11 21:00,2.607,1.314,4.679
2026-02-11 22:00,2.432,1.298,4.74
2026-02-11 23:00,2.676,1.421,4.822
