hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-12 00:00,2.72,0.807,4.684
2026-02-12 01:00,2.334,0.461,4.656
2026-02-12 02:00,2.298,0.473,4.69
2026-02-12 03:00,1.446,0.016,4.274
2026-02-12 04:00,1.522,0.0,4.056
2026-02-12 05:00,1.55,0.091,4.368
2026-02-12 06:00,0.84,0.0,3.621
2026-02-12 07:00,0.338,0.0,2.029
2026-02-12 08:00,0.07,0.0,0.968
2026-02-12 09:00,0.071,0.0,0.673
2026-02-12 10:00,0.038,0.0,0.792
2026-02-12 11:00,0.085,0.0,0.822
2026-02-12 12:00,0.037,0.0,0.733
2026-02-12 13:00,0.044,0.0,0.808
2026-02-12 14:00,0.05,0.0,0.904
2026-02-12 15:00,0.125,0.0,0.959
2026-02-12 16:00,0.187,0.0,1.771
2026-02-12 17:00,0.802,0.0,3.152
2026-02-12 18:00,0.902,0.0,3.024
2026-02-12 19:00,0.615,0.0,2.344
2026-02-12 20:00,0.352,0.0,2.2
2026-02-12 21:00,0.568,0.0,2.057
2026-02-12 22:00,0.367,0.0,2.082
2026-02-12 23:00,0.332,0.0,1.97
