hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-13 00:00,0.347,0.008,2.346
2026-02-13 01:00,0.368,0.006,3.25
2026-02-13 02:00,0.221,0.0,2.214
2026-02-13 03:00,0.165,0.0,2.136
2026-02-13 04:00,0.048,0.0,1.328
2026-02-13 05:00,0.109,0.0,1.457
2026-02-13 06:00,0.032,0.0,1.461
2026-02-13 07:00,0.078,0.0,1.076
2026-02-13 08:00,0.01,0.0,1.124
2026-02-13 09:00,0.122,0.0,1.612
2026-02-13 10:00,0.027,0.0,1.089
2026-02-13 11:00,0.06,0.0,0.61
2026-02-13 12:00,0.058,0.0,0.854
2026-02-13 13:00,0.043,0.0,1.042
2026-02-13 14:00,0.042,0.0,1.256
2026-02-13 15:00,0.064,0.0,1.225
2026-02-13 16:00,0.179,0.0,1.474
2026-02-13 17:00,0.212,0.0,1.908
2026-02-13 18:00,0.238,0.0,1.493
2026-02-13 19:00,0.152,0.0,1.305
2026-02-13 20:00,0.258,0.0,1.756
2026-02-13 21:00,0.47,0.0,3.141
2026-02-13 22:00,1.316,0.0,3.972
2026-02-13 23:00,1.692,0.0,4.313
