hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-14 00:00,2.716,0.382,5.0
2026-02-14 01:00,2.859,0.578,5.0
2026-02-14 02:00,2.74,0.518,4.944
2026-02-14 03:00,2.644,0.594,4.711
2026-02-14 04:00,1.59,0.38,4.062
2026-02-14 05:00,0.876,0.246,3.322
2026-02-14 06:00,0.27,0.0,2.29
2026-02-14 07:00,0.132,0.0,0.997
2026-02-14 08:00,0.106,0.0,1.316
2026-02-14 09:00,0.06,0.0,0.843
2026-02-14 10:00,0.074,0.003,1.016
2026-02-14 11:00,0.098,0.069,2.062
2026-02-14 12:00,0.328,0.0,2.19
2026-02-14 13:00,0.696,0.0,2.29
2026-02-14 14:00,0.762,0.064,2.761
2026-02-14 15:00,0.402,0.042,1.951
2026-02-14 16:00,0.524,0.076,2.532
2026-02-14 17:00,0.763,0.083,2.581
2026-02-14 18:00,0.626,0.027,2.294
2026-02-14 19:00,0.758,0.076,2.52
2026-02-14 20:00,1.2,0.133,3.72
2026-02-14 21:00,1.374,0.143,3.839
2026-02-14 22:00,0.777,0.1,3.004
2026-02-14 23:00,0.612,0.082,2.654
