hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-16 00:00,3.085,0.806,5.0
2026-02-16 01:00,2.934,0.682,5.0
2026-02-16 02:00,2.746,0.649,4.986
2026-02-16 03:00,1.867,0.064,4.63
2026-02-16 04:00,1.742,0.19,4.548
2026-02-16 05:00,1.916,0.267,4.53
2026-02-16 06:00,1.418,0.204,4.128
2026-02-16 07:00,1.196,0.0,4.236
2026-02-16 08:00,1.717,0.284,4.532
2026-02-16 09:00,3.045,0.825,5.0
2026-02-16 10:00,1.394,0.276,4.626
2026-02-16 11:00,2.18,0.876,4.798
2026-02-16 12:00,1.668,0.436,4.237
2026-02-16 13:00,1.1,0.114,3.97
2026-02-16 14:00,1.292,0.186,4.017
2026-02-16 15:00,1.854,0.714,4.248
2026-02-16 16:00,2.426,0.885,4.593
2026-02-16 17:00,3.527,0.933,4.999
2026-02-16 18:00,2.685,0.736,4.598
2026-02-16 19:00,2.624,0.671,4.6
2026-02-16 20:00,2.626,0.672,4.658
2026-02-16 21:00,2.635,0.71,4.608
2026-02-16 22:00,3.43,0.796,4.763
2026-02-16 23:00,3.464,0.803,4.904
