hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-17 00:00,1.436,0.133,4.608
2026-02-17 01:00,1.37,0.131,4.586
2026-02-17 02:00,1.477,0.118,4.47
2026-02-17 03:00,1.276,0.072,4.299
2026-02-17 04:00,1.236,0.083,4.532
2026-02-17 05:00,0.382,0.016,2.983
2026-02-17 06:00,0.524,0.004,3.113
2026-02-17 07:00,0.204,0.0,1.8
2026-02-17 08:00,0.219,0.0,1.199
2026-02-17 09:00,0.18,0.0,1.26
2026-02-17 10:00,0.753,0.0,2.864
2026-02-17 11:00,0.706,0.466,3.538
2026-02-17 12:00,1.664,0.866,4.488
2026-02-17 13:00,1.36,0.883,3.796
2026-02-17 14:00,1.724,0.892,4.335
2026-02-17 15:00,1.912,0.927,4.582
2026-02-17 16:00,2.611,1.025,4.57
2026-02-17 17:00,1.698,0.684,3.955
2026-02-17 18:00,2.088,0.676,4.514
2026-02-17 19:00,2.153,0.556,4.518
2026-02-17 20:00,2.504,0.592,4.742
2026-02-17 21:00,2.858,0.693,4.76
2026-02-17 22:00,3.054,0.666,5.0
2026-02-17 23:00,3.444,0.952,5.0
