hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-19 00:00,1.837,0.269,4.718
2026-02-19 01:00,1.257,0.114,4.104
2026-02-19 02:00,1.435,0.078,4.207
2026-02-19 03:00,1.524,0.078,4.354
2026-02-19 04:00,1.024,0.0,3.686
2026-02-19 05:00,1.412,0.082,4.06
2026-02-19 06:00,1.466,0.046,4.345
2026-02-19 07:00,1.245,0.02,3.759
2026-02-19 08:00,1.368,0.018,4.13
2026-02-19 09:00,2.752,0.675,4.978
2026-02-19 10:00,1.572,0.426,4.238
2026-02-19 11:00,1.484,0.258,4.567
2026-02-19 12:00,1.304,0.227,4.29
2026-02-19 13:00,0.963,0.117,3.693
2026-02-19 14:00,1.052,0.106,3.84
2026-02-19 15:00,0.757,0.0,3.402
2026-02-19 16:00,0.806,0.061,3.04
2026-02-19 17:00,0.805,0.031,2.868
2026-02-19 18:00,0.312,0.0,2.028
2026-02-19 19:00,0.289,0.0,1.554
2026-02-19 20:00,0.621,0.0,2.94
2026-02-19 21:00,0.895,0.047,3.09
2026-02-19 22:00,1.29,0.062,3.78
2026-02-19 23:00,1.047,0.094,3.749
