hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-20 00:00,1.15,0.01,3.774
2026-02-20 01:00,0.863,0.01,3.388
2026-02-20 02:00,1.298,0.026,4.072
2026-02-20 03:00,1.591,0.088,4.494
2026-02-20 04:00,1.562,0.094,4.452
2026-02-20 05:00,1.922,0.204,4.272
2026-02-20 06:00,1.892,0.226,4.338
2026-02-20 07:00,1.596,0.144,4.334
2026-02-20 08:00,1.464,0.044,4.132
2026-02-20 09:00,1.09,0.081,3.777
2026-02-20 10:00,0.861,0.014,3.524
2026-02-20 11:00,0.689,0.036,3.038
2026-02-20 12:00,0.455,0.028,2.232
2026-02-20 13:00,0.24,0.0,1.545
2026-02-20 14:00,0.2,0.0,1.269
2026-02-20 15:00,0.094,0.0,1.21
2026-02-20 16:00,0.093,0.0,1.802
2026-02-20 17:00,0.354,0.0,2.326
2026-02-20 18:00,1.36,0.036,4.258
2026-02-20 19:00,1.825,0.16,4.684
2026-02-20 20:00,1.884,0.146,4.554
2026-02-20 21:00,2.282,0.308,4.689
2026-02-20 22:00,2.786,0.306,4.65
2026-02-20 23:00,1.795,0.044,4.408
