hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-21 00:00,2.952,0.708,4.938
2026-02-21 01:00,2.523,0.646,4.953
2026-02-21 02:00,2.11,0.581,4.855
2026-02-21 03:00,1.724,0.194,4.644
2026-02-21 04:00,1.374,0.0,3.868
2026-02-21 05:00,1.061,0.004,3.666
2026-02-21 06:00,0.626,0.124,2.988
2026-02-21 07:00,0.983,0.0,3.506
2026-02-21 08:00,1.036,0.0,3.946
2026-02-21 09:00,0.84,0.0,2.866
2026-02-21 10:00,0.374,0.192,2.306
2026-02-21 11:00,4.823,3.592,5.0
2026-02-21 12:00,4.878,3.307,5.0
2026-02-21 13:00,4.881,3.514,5.0
2026-02-21 14:00,3.411,1.92,4.896
2026-02-21 15:00,2.354,1.252,4.554
2026-02-21 16:00,1.171,0.412,3.661
2026-02-21 17:00,2.145,0.76,4.68
2026-02-21 18:00,2.554,1.225,4.697
2026-02-21 19:00,2.234,0.686,4.695
2026-02-21 20:00,2.561,1.149,4.787
2026-02-21 21:00,3.556,1.794,4.969
2026-02-21 22:00,3.491,1.789,4.968
2026-02-21 23:00,2.62,1.141,4.88
