hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-23 00:00,0.344,0.182,2.978
2026-02-23 01:00,0.264,0.034,2.436
2026-02-23 02:00,0.146,0.012,1.902
2026-02-23 03:00,0.107,0.0,1.116
2026-02-23 04:00,0.356,0.0,0.899
2026-02-23 05:00,0.186,0.0,1.466
2026-02-23 06:00,0.24,0.0,1.922
2026-02-23 07:00,0.183,0.0,1.504
2026-02-23 08:00,0.406,0.0,1.532
2026-02-23 09:00,0.373,0.0,1.347
2026-02-23 10:00,0.184,0.0,1.474
2026-02-23 11:00,0.359,0.0,2.247
2026-02-23 12:00,1.068,0.0,3.25
2026-02-23 13:00,1.25,0.037,3.984
2026-02-23 14:00,1.968,0.203,4.095
2026-02-23 15:00,2.486,0.384,4.556
2026-02-23 16:00,2.642,0.719,4.83
2026-02-23 17:00,1.682,0.217,4.344
2026-02-23 18:00,2.313,0.588,4.518
2026-02-23 19:00,2.776,0.808,4.84
2026-02-23 20:00,3.02,1.119,4.945
2026-02-23 21:00,3.02,1.104,4.944
2026-02-23 22:00,2.936,1.106,4.944
2026-02-23 23:00,2.356,0.578,4.872
