hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-25 00:00,0.097,0.0,1.498
2026-02-25 01:00,0.158,0.0,1.711
2026-02-25 02:00,0.244,0.0,2.258
2026-02-25 03:00,0.244,0.0,2.915
2026-02-25 04:00,0.405,0.0,3.015
2026-02-25 05:00,0.642,0.0,3.258
2026-02-25 06:00,0.655,0.0,3.402
2026-02-25 07:00,1.0,0.0,3.467
2026-02-25 08:00,1.235,0.0,4.639
2026-02-25 09:00,1.958,0.0,4.376
2026-02-25 10:00,2.436,0.25,4.926
2026-02-25 11:00,3.0,0.992,4.928
2026-02-25 12:00,3.094,0.944,4.999
2026-02-25 13:00,2.651,0.833,4.992
2026-02-25 14:00,1.746,0.434,4.379
2026-02-25 15:00,1.038,0.175,4.11
2026-02-25 16:00,1.05,0.034,3.832
2026-02-25 17:00,0.926,0.04,3.759
2026-02-25 18:00,0.9,0.022,3.612
2026-02-25 19:00,0.81,0.024,3.407
2026-02-25 20:00,0.926,0.026,3.412
2026-02-25 21:00,1.028,0.018,3.772
2026-02-25 22:00,1.666,0.014,4.093
2026-02-25 23:00,2.019,0.033,4.35
