hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-26 00:00,3.651,1.668,5.0
2026-02-26 01:00,3.48,1.478,5.0
2026-02-26 02:00,4.292,2.234,5.0
2026-02-26 03:00,4.394,2.818,5.0
2026-02-26 04:00,4.034,1.989,5.0
2026-02-26 05:00,2.826,1.341,4.832
2026-02-26 06:00,3.448,1.456,4.993
2026-02-26 07:00,2.659,0.778,4.92
2026-02-26 08:00,3.518,2.446,5.0
2026-02-26 09:00,1.15,1.15,3.416
2026-02-26 10:00,3.014,1.894,4.952
2026-02-26 11:00,2.136,0.78,4.586
2026-02-26 12:00,1.043,0.254,3.667
2026-02-26 13:00,0.893,0.013,2.807
2026-02-26 14:00,0.432,0.0,1.924
2026-02-26 15:00,0.696,0.21,2.587
2026-02-26 16:00,0.621,0.198,2.548
2026-02-26 17:00,2.474,0.792,4.562
2026-02-26 18:00,2.52,0.844,4.648
2026-02-26 19:00,3.367,1.391,4.818
2026-02-26 20:00,2.254,0.496,4.643
2026-02-26 21:00,2.351,0.554,4.607
2026-02-26 22:00,1.988,0.38,4.562
2026-02-26 23:00,2.386,0.532,4.604
