hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-27 00:00,3.025,1.196,4.924
2026-02-27 01:00,3.174,1.388,4.908
2026-02-27 02:00,2.572,0.747,4.615
2026-02-27 03:00,2.407,0.733,4.508
2026-02-27 04:00,2.292,0.646,4.368
2026-02-27 05:00,2.192,0.429,4.523
2026-02-27 06:00,1.57,0.266,4.378
2026-02-27 07:00,1.529,0.213,4.319
2026-02-27 08:00,1.374,0.202,4.246
2026-02-27 09:00,0.994,0.158,3.729
2026-02-27 10:00,0.721,0.077,3.273
2026-02-27 11:00,0.413,0.09,2.706
2026-02-27 12:00,0.79,0.083,3.383
2026-02-27 13:00,1.456,0.076,3.757
2026-02-27 14:00,1.626,0.116,4.039
2026-02-27 15:00,2.308,0.484,4.256
2026-02-27 16:00,2.57,0.801,4.436
2026-02-27 17:00,2.559,0.68,4.472
2026-02-27 18:00,2.636,0.73,4.472
2026-02-27 19:00,2.556,0.715,4.488
2026-02-27 20:00,2.58,0.733,4.514
2026-02-27 21:00,2.498,0.59,4.364
2026-02-27 22:00,2.197,0.378,4.212
2026-02-27 23:00,1.527,0.279,3.64
