hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-02-28 00:00,1.756,0.53,4.191
2026-02-28 01:00,1.303,0.386,3.918
2026-02-28 02:00,1.678,0.436,4.032
2026-02-28 03:00,1.866,0.752,4.147
2026-02-28 04:00,2.108,0.873,4.378
2026-02-28 05:00,2.539,0.891,4.547
2026-02-28 06:00,2.475,0.67,4.39
2026-02-28 07:00,2.56,0.687,4.391
2026-02-28 08:00,2.466,0.578,4.505
2026-02-28 09:00,2.458,0.617,4.48
2026-02-28 10:00,2.464,0.449,4.34
2026-02-28 11:00,2.19,0.876,4.295
2026-02-28 12:00,2.704,0.726,4.368
2026-02-28 13:00,2.74,0.77,4.358
2026-02-28 14:00,2.74,0.883,4.422
2026-02-28 15:00,2.595,0.76,4.44
2026-02-28 16:00,2.338,0.751,4.206
2026-02-28 17:00,1.483,0.511,3.392
2026-02-28 18:00,1.407,0.489,3.43
2026-02-28 19:00,1.303,0.442,3.174
2026-02-28 20:00,1.089,0.505,2.897
2026-02-28 21:00,1.048,0.461,2.506
2026-02-28 22:00,0.989,0.459,2.515
2026-02-28 23:00,1.141,0.42,3.069
