hour_astana,plan_mwh,p10_mwh,p90_mwh
2026-03-01 00:00,0.404,0.0,1.674
2026-03-01 01:00,0.3,0.0,1.751
2026-03-01 02:00,0.194,0.0,1.184
2026-03-01 03:00,0.182,0.0,1.124
2026-03-01 04:00,0.168,0.0,0.85
2026-03-01 05:00,0.246,0.0,0.75
2026-03-01 06:00,0.313,0.0,0.664
2026-03-01 07:00,0.307,0.0,0.473
2026-03-01 08:00,0.078,0.0,0.448
2026-03-01 09:00,0.06,0.0,0.41
2026-03-01 10:00,0.088,0.0,0.51
2026-03-01 11:00,0.042,0.0,0.946
2026-03-01 12:00,0.038,0.0,0.938
2026-03-01 13:00,0.048,0.0,1.126
2026-03-01 14:00,0.042,0.0,1.125
2026-03-01 15:00,0.049,0.0,1.216
2026-03-01 16:00,0.206,0.0,1.615
2026-03-01 17:00,0.357,0.0,2.112
2026-03-01 18:00,0.198,0.0,1.444
2026-03-01 19:00,0.567,0.0,2.332
2026-03-01 20:00,0.936,0.0,3.574
2026-03-01 21:00,1.898,0.192,4.514
2026-03-01 22:00,2.975,0.528,4.648
2026-03-01 23:00,1.946,0.006,4.34
